altitude_km,energy_eV,probability_density_eV-1,spectral_production_cm-3_s-1_eV-1
101.25,2.7625,0.39079999999999443,492.88649492774726
101.25,2.7875000000000005,0.3115000000000011,392.8714001279325
101.25,2.8125,0.2524000000000009,318.3330381774965
101.25,2.8375000000000004,0.1905000000000007,240.26324791130384
101.25,2.8625,0.14810000000000054,186.78733341555957
101.25,2.8875,0.1047999999999985,132.17631696117687
101.25,2.9125000000000005,0.0826000000000003,104.17713531482255
101.25,2.9375,0.054300000000000195,68.48448483771023
101.25,2.9625000000000004,0.04490000000000016,56.6289754919556
101.25,2.9875,0.04080000000000015,51.45795545816901
101.25,3.0125,0.03449999999999951,43.51224174771566
101.25,3.0375000000000005,0.03500000000000013,44.14285394695871
101.25,3.0625,0.04130000000000015,52.088567657411275
101.25,3.0875000000000004,0.049000000000000175,61.79999552574219
101.25,3.1125,0.06610000000000024,83.36693273982773
101.25,3.1375,0.08509999999999879,107.33019631103197
101.25,3.1625000000000005,0.10110000000000036,127.50978668678643
101.25,3.1875,0.13810000000000047,174.1750894307142
101.25,3.2125000000000004,0.1690000000000006,213.1469233438863
101.25,3.2375,0.20960000000000073,264.3526339223584
101.25,3.2625,0.24319999999999656,306.7297737114333
101.25,3.2875000000000005,0.286600000000001,361.4669126056676
101.25,3.3125,0.32710000000000117,412.5465007442912
101.25,3.3375000000000004,0.38120000000000137,480.77874070230456
101.25,3.3625,0.42120000000000146,531.2277166416859
101.25,3.3875,0.45999999999999347,580.1632233028755
101.25,3.4125000000000005,0.49940000000000173,629.8554646031764
101.25,3.4375,0.5087000000000018,641.5848515090827
101.25,3.4625000000000004,0.5324000000000019,671.4758697531661
101.25,3.4875,0.551000000000002,694.9346435649786
101.25,3.5125,0.5562999999999921,701.6191328769341
101.25,3.5375000000000005,0.5410000000000019,682.3223995801332
101.25,3.5625,0.5167000000000018,651.6746466969589
101.25,3.5875000000000004,0.5054000000000018,637.4228109940838
101.25,3.6125,0.4705000000000017,593.4060794869735
101.25,3.6375,0.4298999999999939,542.2003689084918
101.25,3.6625000000000005,0.3984000000000014,502.47180035623853
101.25,3.6875,0.3453000000000012,435.50078479670975
101.25,3.7125000000000004,0.3066000000000011,386.6914005753583
101.25,3.7375,0.26900000000000096,339.26936319233977
101.25,3.7625,0.22579999999999678,284.7844691778028
101.25,3.7875000000000005,0.19940000000000072,251.48814505781618
101.25,3.8125,0.15510000000000054,195.61590420495128
101.25,3.8375000000000004,0.13160000000000047,165.97713084056474
101.25,3.8625,0.10450000000000037,131.79794964163383
101.25,3.8875,0.08199999999999884,103.42040067573
101.25,3.9125000000000005,0.06460000000000023,81.47509614210092
101.25,3.9375,0.04960000000000018,62.55673016483291
101.25,3.9625000000000004,0.03550000000000013,44.773466146200974
101.25,3.9875,0.029800000000000108,37.58448707483913
101.25,4.0125,0.01899999999999973,23.963263571205726
101.25,4.0375,0.01590000000000034,20.053467935904457
101.25,4.0625,0.011599999999999834,14.63020302242034
101.25,4.0875,0.007099999999999899,8.954693229240036
101.25,4.112500000000001,0.005600000000000119,7.062856631513518
