altitude_km,energy_eV,branch_probability,total_hot_O_production_cm-3_s-1,branch_hot_O_production_cm-3_s-1
156.25,2.51,0.473,1073.4865116949923,507.7591200317313
158.75,2.51,0.473,831.6408674988777,393.36613032696914
161.25,2.51,0.473,639.622962083383,302.5416610654401
163.75,2.51,0.473,489.3366755393626,231.4562475301185
166.25,2.51,0.473,373.9553991584395,176.88090380194188
168.75,2.51,0.473,286.58757239238406,135.55592174159764
171.25,2.51,0.473,220.87523985660732,104.47398845217526
173.75,2.51,0.473,171.5121852366805,81.12526361694987
176.25,2.51,0.473,134.2977331045725,63.52282775846279
178.75,2.51,0.473,106.05571532532932,50.164353348880766
181.25,2.51,0.473,83.93324446983823,39.70042463423348
183.75,2.51,0.473,66.26742447790488,31.344491778049008
186.25,2.51,0.473,52.66693832612046,24.911461828254975
188.75,2.51,0.473,42.15823344489921,19.940844419437326
191.25,2.51,0.473,33.996420043761205,16.08030668069905
193.75,2.51,0.473,27.61608975230238,13.062410452839025
196.25,2.51,0.473,22.595470302544307,10.687657453103457
198.75,2.51,0.473,18.617616831008625,8.80613276106708
201.25,2.51,0.473,15.520184193651835,7.341047123597317
203.75,2.51,0.473,13.074112094345432,6.184055020625389
206.25,2.51,0.473,11.07385519590727,5.237933507664139
208.75,2.51,0.473,9.429375932020825,4.46009481584585
211.25,2.51,0.473,8.070236211119928,3.817221727859726
213.75,2.51,0.473,6.941555747858159,3.283355868736909
216.25,2.51,0.473,6.000202105450508,2.83809559587809
218.75,2.51,0.473,5.211616583629703,2.4650946440568493
221.25,2.51,0.473,4.548112473490357,2.1512571999609387
223.75,2.51,0.473,3.9880757221743455,1.8863598165884654
226.25,2.51,0.473,3.5135460118770063,1.6619072636178238
228.75,2.51,0.473,3.110277414475083,1.4711612170467143
231.25,2.51,0.473,2.7667531493080237,1.3086742396226951
233.75,2.51,0.473,2.4734889519783274,1.169960274285749
236.25,2.51,0.473,2.2228942607694457,1.0514289853439478
238.75,2.51,0.473,2.008951174146752,0.9502339053714136
241.25,2.51,0.473,1.8269081123746664,0.8641275371532172
243.75,2.51,0.473,1.673348775483958,0.791493970803912
246.25,2.51,0.473,1.5460625213966888,0.7312875726206337
248.75,2.51,0.473,1.4438938640370163,0.6829617976895086
251.25,2.51,0.473,1.3654034802564725,0.6458358461613115
98.75,3.495,0.265,859.1013608377896,227.66186062201425
101.25,3.495,0.265,1261.22439848453,334.22446559840046
103.75,3.495,0.265,1656.7773981711994,439.04601051536787
106.25,3.495,0.265,2234.2687066629815,592.0812072656901
108.75,3.495,0.265,3386.500932085047,897.4227470025376
111.25,3.495,0.265,5487.795582324945,1454.2658293161105
113.75,3.495,0.265,8583.141169359298,2274.5324098802143
116.25,3.495,0.265,12087.92088891377,3203.299035562149
118.75,3.495,0.265,15049.472633525169,3988.11024788417
121.25,3.495,0.265,17055.67210410533,4519.753107587913
123.75,3.495,0.265,16689.254628294,4422.652476497909
126.25,3.495,0.265,15037.250724060083,3984.8714418759223
128.75,3.495,0.265,12871.628263046035,3410.9814897071997
131.25,3.495,0.265,10640.231728439136,2819.661408036371
133.75,3.495,0.265,8648.850480090014,2291.945377223854
136.25,3.495,0.265,6932.028561571245,1836.98756881638
138.75,3.495,0.265,5533.910395100342,1466.4862547015907
141.25,3.495,0.265,4395.551697330553,1164.8211997925966
143.75,3.495,0.265,3496.884072068174,926.6742790980662
146.25,3.495,0.265,2778.2403835179275,736.2337016322508
148.75,3.495,0.265,2203.612171640225,583.9572254846596
151.25,3.495,0.265,1741.7002262964997,461.55055996857243
153.75,3.495,0.265,1374.158460053368,364.1519919141425
156.25,3.495,0.265,1073.4865116949923,284.47392559917296
158.75,3.495,0.265,831.6408674988777,220.3848298872026
161.25,3.495,0.265,639.622962083383,169.5000849520965
